"Probe Set ID","Species Scientific Name","Transcript ID(Array Design)","Representative Public ID","Gene Symbol"
"1776050_at","Schizosaccharomyces pombe","SPAC144.07c","SPAC144.07c.S1","---"
"1776051_at","Schizosaccharomyces pombe","SPAC6F6.01","SPAC6F6.01.S1","---"
"1776052_at","Schizosaccharomyces pombe","SPAC1B9.02c","SPAC1B9.02c.S1","---"
"1776053_at","Schizosaccharomyces pombe","SPAC31G5.11","SPAC31G5.11.S1","---"
"1776054_at","Saccharomyces cerevisiae","YIL056W","YIL056W.S1","VHR1"
"1776055_at","Schizosaccharomyces pombe","SPCC1235.07","SPCC1235.07.S1","---"
"1776056_at","Schizosaccharomyces pombe","SPAC3A11.12c","SPAC3A11.12c.S1","---"
"1776057_at","Schizosaccharomyces pombe","SPBC2D10.20","SPBC2D10.20.S1","---"
"1776058_at","Saccharomyces cerevisiae","YJR024C","YJR024C.S1","---"
"1776059_at","Schizosaccharomyces pombe","SPBC29A10.07","SPBC29A10.07.S1","---"
"1776060_at","Schizosaccharomyces pombe","SPAC17D4.02","SPAC17D4.02.S1","---"
"1776061_at","Saccharomyces cerevisiae","YHR190W","YHR190W.S1","ERG9"
"1776063_at","Saccharomyces cerevisiae","YOR358W","YOR358W.S1","HAP5"
"1776064_at","Saccharomyces cerevisiae","YKL217W","YKL217W.S1","JEN1"
"1776066_at","Schizosaccharomyces pombe","SPBC409.06","SPBC409.06.S1","---"
"1776067_at","Schizosaccharomyces pombe","SPAC26H5.03","SPAC26H5.03.S1","---"
"1776068_at","Saccharomyces cerevisiae","YPL163C","YPL163C.S1","SVS1"
"1776069_at","Saccharomyces cerevisiae","YDR359C","YDR359C.S1","EAF1"
"1776070_at","Schizosaccharomyces pombe","SPBC609.01","SPBC609.01.S1","---"
"1776071_at","Schizosaccharomyces pombe","SPAC227.15","SPAC227.15.S1","---"
"1776072_at","Schizosaccharomyces pombe","SPBC1703.13c","SPBC1703.13c.S1","---"
"1776073_at","Schizosaccharomyces pombe","SPAC13G6.12c","SPAC13G6.12c.S1","---"
"1776074_at","Schizosaccharomyces pombe","SPAC22G7.07c","SPAC22G7.07c.S1","---"
"1776075_at","Saccharomyces cerevisiae","YOR149C","YOR149C.S1","SMP3"
"1776076_at","Saccharomyces cerevisiae","YPL122C","YPL122C.S1","TFB2"
"1776077_at","Saccharomyces cerevisiae","YIL137C","YIL137C.S1","TMA108"
"1776078_at","Schizosaccharomyces pombe","SPAC19G12.01c","SPAC19G12.01c.S1","---"
"1776079_at","Saccharomyces cerevisiae","YGR241C","YGR241C.S1","YAP1802"
"1776080_at","Saccharomyces cerevisiae","YGL245W","YGL245W.S1","GUS1"
"1776081_at","Saccharomyces cerevisiae","YDR510W","YDR510W.S1","SMT3"
"1776082_at","Schizosaccharomyces pombe","SPBPB21E7.05","SPBPB21E7.05.S1","---"
"1776083_at","Saccharomyces cerevisiae","YNR006W","YNR006W.S1","VPS27"
"1776084_at","Saccharomyces cerevisiae","YPL273W","YPL273W.S1","SAM4"
"1776085_at","Saccharomyces cerevisiae","YKL157W","YKL157W.S1","APE2"
"1776086_at","Schizosaccharomyces pombe","SPBC800.11","SPBC800.11.S1","---"
"1776087_at","Saccharomyces cerevisiae","YHR021W-A","YHR021W-A.S1","ECM12"
"1776088_at","Saccharomyces cerevisiae","YNR009W","YNR009W.S1","NRM1"
"1776089_at","Schizosaccharomyces pombe","SPBC21B10.09","SPBC21B10.09.S1","---"
"1776090_at","Saccharomyces cerevisiae","YIR008C","YIR008C.S1","PRI1"
"1776091_at","Saccharomyces cerevisiae","YOR340C","YOR340C.S1","RPA43"
"1776092_at","Saccharomyces cerevisiae","YJR031C","YJR031C.S1","GEA1"
"1776093_at","Saccharomyces cerevisiae","YDR304C","YDR304C.S1","CPR5"
"1776094_at","Saccharomyces cerevisiae","YGR013W","YGR013W.S1","SNU71"
"1776095_at","Saccharomyces cerevisiae","YMR289W","YMR289W.S1","ABZ2"
"1776096_at","Saccharomyces cerevisiae","YER134C","YER134C.S1","---"
"1776097_at","Saccharomyces cerevisiae","YHL011C","YHL011C.S1","PRS3"
"1776098_at","Schizosaccharomyces pombe","SPBC1604.09c","SPBC1604.09c.S1","---"
"1776099_at","Schizosaccharomyces pombe","SPBC713.12","SPBC713.12.S1","---"
"1776100_at","Schizosaccharomyces pombe","SPBC11C11.08","SPBC11C11.08.S1","---"
"1776101_at","Schizosaccharomyces pombe","SPBC651.09c","SPBC651.09c.S1","---"
"1776102_at","Saccharomyces cerevisiae","YMR183C","YMR183C.S1","SSO2"
"1776103_at","Schizosaccharomyces pombe","SPAC1039.10","SPAC1039.10.S1","---"
"1776104_at","Saccharomyces cerevisiae","YLR264W","YLR264W.S1","RPS28B"
"1776105_at","Schizosaccharomyces pombe","SPBC776.18c","SPBC776.18c.S1","---"
"1776106_at","Schizosaccharomyces pombe","SPBC30D10.12c","SPBC30D10.12c.S1","---"
"1776107_at","Saccharomyces cerevisiae","YBR298C-A","YBR298C-A.S1","---"
"1776108_at","Saccharomyces cerevisiae","YNL046W","YNL046W.S1","---"
"1776109_at","Saccharomyces cerevisiae","YOR117W","YOR117W.S1","RPT5"
"1776110_at","Schizosaccharomyces pombe","SPAC16.04","SPAC16.04.S1","---"
"1776111_at","Schizosaccharomyces pombe","SPAP27G11.08c","SPAP27G11.08c.S1","---"
"1776112_at","Schizosaccharomyces pombe","SPBC1683.13c","SPBC1683.13c.S1","---"
"1776113_at","Schizosaccharomyces pombe","SPCC1442.06","SPCC1442.06.S1","---"
"1776114_at","Schizosaccharomyces pombe","SPCC1442.04c","SPCC1442.04c.S1","---"
"1776115_at","Saccharomyces cerevisiae","YML014W","YML014W.S1","TRM9"
"1776116_at","Schizosaccharomyces pombe","SPAPB1A10.13","SPAPB1A10.13.S1","---"
